id,campusName,academicFieldName,season,subjectName,dayOfWeekPeriod,locationName,lessonModeName,timetableYear,faculties,entryNumber,syllabusDetailUrl
2333,日吉,体育,春,体育実技Ａ（水泳）２５,金1/金2/金3,梅本 雅之,対面授業（主として対面授業）,2023,['体研'],96288,detail?ttblyr=2023&entno=96288&lang=jp
2334,日吉,体育,春,体育実技Ａ（テニス）２５（初級）,金1/金2,原 荘太郎,対面授業（主として対面授業）,2023,['体研'],39776,detail?ttblyr=2023&entno=39776&lang=jp
2350,日吉,体育,春,体育実技Ａ（フットサル）２５,月1/月2/月3,四戸 紀秀,対面授業（主として対面授業）,2023,['体研'],15645,detail?ttblyr=2023&entno=15645&lang=jp
2335,日吉,体育,春,体育実技Ａ（バスケットボール）２４,金1/金2/金3/火1/火2/火3,加藤 大仁,対面授業（主として対面授業）,2023,['体研'],31904,detail?ttblyr=2023&entno=31904&lang=jp
2336,日吉,体育,春,体育実技Ａ（バレーボール）３０,金1/金2,石手 靖,対面授業（主として対面授業）,2023,['体研'],36005,detail?ttblyr=2023&entno=36005&lang=jp
2337,日吉,体育,春,体育実技Ａ（フットサル）２２,金1/金2/金3,福士 徳文,対面授業（主として対面授業）,2023,['体研'],78726,detail?ttblyr=2023&entno=78726&lang=jp
2338,日吉,体育,春,体育実技Ａ（エアロビクス）１２,金2/金3/水2/水3,佐々木 玲子,対面授業（主として対面授業）,2023,['体研'],28734,detail?ttblyr=2023&entno=28734&lang=jp
2339,日吉,体育,春,体育実技Ａ（サッカー）４０,金2/金3,大嶽 真人,対面授業（主として対面授業）,2023,['体研'],27540,detail?ttblyr=2023&entno=27540&lang=jp
2340,日吉,体育,春,体育実技Ａ（柔道）３０（男女共習）,金2/金3,朝飛 大,対面授業（主として対面授業）,2023,['体研'],31187,detail?ttblyr=2023&entno=31187&lang=jp
2341,日吉,体育,春,体育実技Ａ（フィットネストレーニング）２０,金2/金3,塩島 絵未,対面授業（主として対面授業）,2023,['体研'],16404,detail?ttblyr=2023&entno=16404&lang=jp
2342,三田,体育,春,体育実技Ａ（ボディコンディショニング）２０（ヨガ）,金2/金3,奥山 靜代,対面授業（主として対面授業）,2023,['体研'],3227,detail?ttblyr=2023&entno=03227&lang=jp
2343,日吉,体育,春,体育実技Ａ（テニス）３０（中級）,金3,原 荘太郎,対面授業（主として対面授業）,2023,['体研'],45801,detail?ttblyr=2023&entno=45801&lang=jp
2344,日吉,体育,春,体育実技Ａ（バレーボール）３０,金3,矢作 拓也,対面授業（主として対面授業）,2023,['体研'],8776,detail?ttblyr=2023&entno=08776&lang=jp
2345,日吉,体育,春,体育実技Ａ（ゴルフ）２０,月1/月2/月3,勝又 正浩,対面授業（主として対面授業）,2023,['体研'],29506,detail?ttblyr=2023&entno=29506&lang=jp
2346,日吉,体育,春,体育実技Ａ（テニス）２５（中級）,月1,坂井 利彰,対面授業（主として対面授業）,2023,['体研'],39580,detail?ttblyr=2023&entno=39580&lang=jp
2347,日吉,体育,春,体育実技Ａ（バスケットボール）２４,月1/月2/月3,木塚 孝幸,対面授業（主として対面授業）,2023,['体研'],39140,detail?ttblyr=2023&entno=39140&lang=jp
2348,日吉,体育,春,体育実技Ａ（バドミントン）２０（初級）,月1/火2/火3,加藤 幸司,対面授業（主として対面授業）,2023,['体研'],17963,detail?ttblyr=2023&entno=17963&lang=jp
2349,日吉,体育,春,体育実技Ａ（バレエエクササイズ）１２,月1/月2/月3,金指 みの利,対面授業（主として対面授業）,2023,['体研'],10476,detail?ttblyr=2023&entno=10476&lang=jp
2351,日吉,体育,春,体育実技Ａ（アーチェリー）２０,月2/月3,小幡 典子,対面授業（主として対面授業）,2023,['体研'],32014,detail?ttblyr=2023&entno=32014&lang=jp
2352,日吉,体育,春,体育実技Ａ（サッカー）４０,月2/月3,櫻井 友,対面授業（主として対面授業）,2023,['体研'],77529,detail?ttblyr=2023&entno=77529&lang=jp
2353,日吉,体育,春,体育実技Ａ（卓球）１６（中級）,月2,木林 弥生,対面授業（主として対面授業）,2023,['体研'],39063,detail?ttblyr=2023&entno=39063&lang=jp
2354,日吉,体育,春,体育実技Ａ（テニス）２５（英語）,月2,坂井 利彰,対面授業（主として対面授業）,2023,['体研'],39044,detail?ttblyr=2023&entno=39044&lang=jp
2355,三田,体育,春,体育実技Ａ（テニス）１４（初級）,月2/月3,竹村 りょうこ,対面授業（主として対面授業）,2023,['体研'],63657,detail?ttblyr=2023&entno=63657&lang=jp
2356,日吉,体育,春,体育実技Ａ（バドミントン）２２（中級）,月2,加藤 幸司,対面授業（主として対面授業）,2023,['体研'],17982,detail?ttblyr=2023&entno=17982&lang=jp
2357,日吉,体育,春,体育実技Ａ（バレーボール）４５,月2/月3,石手 靖,対面授業（主として対面授業）,2023,['体研'],32509,detail?ttblyr=2023&entno=32509&lang=jp
2358,日吉,体育,春,体育実技Ａ（フィットネストレーニング）１６,月2/月3/水2/水3,稲見 崇孝,対面授業（主として対面授業）,2023,['体研'],15829,detail?ttblyr=2023&entno=15829&lang=jp
2359,日吉,体育,秋,体育実技Ａ（ボディメイクエクササイズ）１５(オーバーヘッドスポーツ),月2/木1/木3,東原 綾子,対面授業（主として対面授業）,2023,['体研'],46567,detail?ttblyr=2023&entno=46567&lang=jp
2360,日吉,体育,春,体育学講義Ⅰ（パフォーマンス心理学）,月3,永田 直也,対面授業（主として対面授業）,2023,['体研'],32909,detail?ttblyr=2023&entno=32909&lang=jp
2361,日吉,体育,春,体育実技Ａ（卓球）１６（初級）,月3/月4,木林 弥生,対面授業（主として対面授業）,2023,['体研'],39078,detail?ttblyr=2023&entno=39078&lang=jp
2362,日吉,体育,春,体育実技Ａ（ボクシング）５０,月3/月4,島田 桂太郎,対面授業（主として対面授業）,2023,['体研'],39690,detail?ttblyr=2023&entno=39690&lang=jp
2363,日吉,体育,秋,体育実技Ａ（ソフトボール）２６,月3/木2/木3/水2/水3,東原 綾子,対面授業（主として対面授業）,2023,['体研'],17079,detail?ttblyr=2023&entno=17079&lang=jp
