id,campusName,academicFieldName,season,subjectName,dayOfWeekPeriod,locationName,lessonModeName,timetableYear,faculties,entryNumber,syllabusDetailUrl
7,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系,秋,科学と環境Ⅱ,土3,豊田 健介,オンライン授業（主としてオンデマンド形式）,2023,"['経/経済', '商/商', '文/人文', '理']",90749,detail?ttblyr=2023&entno=90749&lang=jp
10,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）演習科目,春,総合教育セミナーＳ（Ⅱ類）,土2,英 知明,対面授業（主として対面授業）,2023,['商/商'],49056,detail?ttblyr=2023&entno=49056&lang=jp
19,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系,秋,生命の科学,土2,佐藤 由紀子,オンライン授業（主としてオンデマンド形式）,2023,"['経/経済', '商/商', '文/人文']",88852,detail?ttblyr=2023&entno=88852&lang=jp
49,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,倫理学Ⅰ,土2,久野 真隆,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/法律', '法/政治', '理']",52355,detail?ttblyr=2023&entno=52355&lang=jp
72,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系,春,生命の科学,土3,豊田 健介,オンライン授業（主としてオンデマンド形式）,2023,"['経/経済', '商/商', '文/人文']",88981,detail?ttblyr=2023&entno=88981&lang=jp
95,日吉,総合教育科目社会科学系列,春,経済学Ⅰ,土2,武藤 功,対面授業（主として対面授業）,2023,"['文/人文', '理']",20655,detail?ttblyr=2023&entno=20655&lang=jp
211,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,美術Ⅰ,土1,諸星 妙,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/政治', '法/法律', '理']",2660,detail?ttblyr=2023&entno=02660&lang=jp
212,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,文化人類学Ⅰ,土3,法橋 量,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '理']",50314,detail?ttblyr=2023&entno=50314&lang=jp
218,日吉,総合教育科目選択必修（Ⅲ系）Ⅲ系　総合・関連系,春,動物行動学,土3,香田 啓貴,オンライン授業（主としてオンデマンド形式）,2023,"['経/経済', '商/商', '文/人文']",38693,detail?ttblyr=2023&entno=38693&lang=jp
223,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,科学史Ⅰ,土3,俵 章浩,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '法/法律', '法/政治', '理']",29614,detail?ttblyr=2023&entno=29614&lang=jp
238,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,美術Ⅰ,土1,細野 喜代,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/政治', '法/法律', '理']",29231,detail?ttblyr=2023&entno=29231&lang=jp
263,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,現代ビジネス論Ⅰ,土3,大前 恵一朗,対面授業（主として対面授業）,2023,"['経/経済', '文/人文', '理']",97872,detail?ttblyr=2023&entno=97872&lang=jp
270,日吉,総合教育科目第１・２学年設置科目系列Ｙ（自然科学系列・総合教育セミナー・外国語）,春,英語リスニング３,土1,吉原 学,対面授業（主として対面授業）,2023,['理'],17051,detail?ttblyr=2023&entno=17051&lang=jp
