id,campusName,academicFieldName,season,subjectName,dayOfWeekPeriod,locationName,lessonModeName,timetableYear,faculties,entryNumber,syllabusDetailUrl
13,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,地域文化論,木3,杉山 有紀子,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '理']",26052,detail?ttblyr=2023&entno=26052&lang=jp
22,日吉,総合教育科目Ⅰ類（自然科学系科目）実験科目,秋,生物学Ⅱ（実験を含む）,"木1,2",林 良信,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文']",37151,detail?ttblyr=2023&entno=37151&lang=jp
35,日吉,総合教育科目第１・２学年設置科目系列Ｙ（自然科学系列・総合教育セミナー・外国語）,秋,中国語セミ・インテンシブ２,火3/木3,余 志紅,対面授業（主として対面授業）,2023,['理'],66453,detail?ttblyr=2023&entno=66453&lang=jp
36,日吉,人文科学科目選択,秋,地域文化論Ⅳ（東アジア・中国）,木5,安田 淳,対面授業（主として対面授業）,2023,"['法/政治', '法/法律']",63473,detail?ttblyr=2023&entno=63473&lang=jp
41,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,歴史Ⅱ,木2,岩波 敦子,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/法律', '法/政治', '理']",23707,detail?ttblyr=2023&entno=23707&lang=jp
46,日吉,人文科学科目選択,秋,人文科学特論Ⅱ,木4,常山 菜穂子,対面授業（主として対面授業）,2023,"['法/法律', '法/政治']",59622,detail?ttblyr=2023&entno=59622&lang=jp
59,日吉,総合教育科目Ⅰ類（自然科学系科目）実験科目,秋,化学Ⅱ（実験を含む）,"木1,2",井奥 洪二,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文']",23530,detail?ttblyr=2023&entno=23530&lang=jp
61,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,現代ビジネス論Ⅰ,木5,ゴルシコフ， ビクトル,対面授業（主として対面授業）,2023,"['経/経済', '文/人文', '理']",1327,detail?ttblyr=2023&entno=01327&lang=jp
62,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,文学Ⅱ,木3,石川 大智,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律', '理']",44693,detail?ttblyr=2023&entno=44693&lang=jp
64,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,地域文化論Ⅳ,木3,有光 道生,対面授業（主として対面授業）,2023,"['経/経済', '文/人文']",38162,detail?ttblyr=2023&entno=38162&lang=jp
