id,campusName,academicFieldName,season,subjectName,dayOfWeekPeriod,locationName,lessonModeName,timetableYear,faculties,entryNumber,syllabusDetailUrl
14,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,地域文化論Ⅰ,金5,ベネット， アレキサンダー Ｃ．,オンライン授業（主としてオンデマンド形式）,2023,"['経/経済', '商/商', '文/人文']",89552,detail?ttblyr=2023&entno=89552&lang=jp
23,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系,秋,科学と環境Ⅱ,金4,フラキ， アントニノ,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '理']",92259,detail?ttblyr=2023&entno=92259&lang=jp
3577,日吉,外国語科目英語,春,英語１,金3/金4,小菅 隼人,対面授業（主として対面授業）,2023,['理'],8395,detail?ttblyr=2023&entno=08395&lang=jp
25,日吉,総合教育科目選択必修（Ⅲ系）Ⅲ系　総合・関連系,秋,医療・福祉の行政,金5,池永 敏康,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",38746,detail?ttblyr=2023&entno=38746&lang=jp
26,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,音楽Ⅰ,金5,安川 智子,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/法律', '法/政治', '理']",53753,detail?ttblyr=2023&entno=53753&lang=jp
34,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,地理学Ⅰ,金3,長田 進,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '理']",39360,detail?ttblyr=2023&entno=39360&lang=jp
44,日吉,総合教育科目選択必修（Ⅲ系）Ⅲ系　総合・関連系（自由研究セミナー）,春,自由研究セミナー,金2,宮崎 直哉,対面授業（主として対面授業）,2023,['経/経済'],79775,detail?ttblyr=2023&entno=79775&lang=jp
45,日吉,人文科学科目選択,秋,地域文化論Ⅱ（ラテンアメリカ）,金3,工藤 由美,対面授業（主として対面授業）,2023,"['法/法律', '法/政治']",35068,detail?ttblyr=2023&entno=35068&lang=jp
52,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,文学Ⅰ,金3,迫 桂,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/政治', '法/法律', '理']",95061,detail?ttblyr=2023&entno=95061&lang=jp
54,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,現代世界史,金3,剣持 久木,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '理']",20824,detail?ttblyr=2023&entno=20824&lang=jp
56,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,地理学Ⅱ,金4,白 迎玖,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '理']",35377,detail?ttblyr=2023&entno=35377&lang=jp
68,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,文学Ⅰ,金4,若澤 佑典,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/政治', '法/法律', '理']",13881,detail?ttblyr=2023&entno=13881&lang=jp
71,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,社会心理学Ⅰ,金2,李 津娥,対面授業（主として対面授業）,2023,"['経/経済', '文/人文']",91927,detail?ttblyr=2023&entno=91927&lang=jp
75,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,哲学Ⅱ,金5,鈴木 康則,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/政治', '法/法律', '理']",52389,detail?ttblyr=2023&entno=52389&lang=jp
79,日吉,人文科学科目選択,春,地域文化論Ⅲ（東アジア・朝鮮半島）,金1,小針 進,対面授業（主として対面授業）,2023,"['法/政治', '法/法律']",191,detail?ttblyr=2023&entno=00191&lang=jp
80,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系（生物・物理・化学）,秋,生物学Ⅱ（実験を含む）,"金3,4",渡辺 愛子,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",30050,detail?ttblyr=2023&entno=30050&lang=jp
85,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系,春,地学Ⅰ,金1,松本 直記,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",85270,detail?ttblyr=2023&entno=85270&lang=jp
90,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,法学Ⅱ（憲法を含む）,金1,尾崎 愛美,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '理']",27573,detail?ttblyr=2023&entno=27573&lang=jp
92,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系（生物・物理・化学）,秋,生物学Ⅱ（実験を含む）,"金1,2",新屋 みのり,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",65036,detail?ttblyr=2023&entno=65036&lang=jp
105,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,地理学Ⅱ,金3,長田 進,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '理']",41624,detail?ttblyr=2023&entno=41624&lang=jp
110,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,歴史Ⅱ,金5,的場 匠平,オンライン授業（全回オンデマンド形式）,2023,"['経/経済', '商/商', '文/人文', '法/法律', '法/政治', '理']",27679,detail?ttblyr=2023&entno=27679&lang=jp
116,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,文化人類学Ⅱ,金4,四條 真也,オンライン授業（全回オンデマンド形式）,2023,"['経/経済', '商/商', '文/人文', '理']",20928,detail?ttblyr=2023&entno=20928&lang=jp
122,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系（生物・物理・化学）,秋,生物学Ⅱ（実験を含む）,"金3,4",新屋 みのり,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",70543,detail?ttblyr=2023&entno=70543&lang=jp
127,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,現代日本史,金3,酒井 一臣,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '理']",20475,detail?ttblyr=2023&entno=20475&lang=jp
128,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,倫理学Ⅱ,金4,西川 耕平,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/法律', '法/政治', '理']",208,detail?ttblyr=2023&entno=00208&lang=jp
131,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系,秋,地学Ⅱ,金1,松本 直記,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",86386,detail?ttblyr=2023&entno=86386&lang=jp
140,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,春,政治学Ⅰ,金5,谷 一巳,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '理']",99526,detail?ttblyr=2023&entno=99526&lang=jp
141,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,社会心理学Ⅱ,金2,李 津娥,対面授業（主として対面授業）,2023,"['経/経済', '文/人文']",91912,detail?ttblyr=2023&entno=91912&lang=jp
142,日吉,総合教育科目選択必修（Ⅲ系）Ⅲ系　総合・関連系,春,ラテンアメリカ研究Ⅰ,金5,小原 正,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",82323,detail?ttblyr=2023&entno=82323&lang=jp
