id,campusName,academicFieldName,season,subjectName,dayOfWeekPeriod,locationName,lessonModeName,timetableYear,faculties,entryNumber,syllabusDetailUrl
2,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系（生物・物理・化学）,秋,物理学Ⅱ（実験を含む）,"月1,2",吉田 豊,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",20359,detail?ttblyr=2023&entno=20359&lang=jp
9,日吉,総合教育科目選択必修（Ⅲ系）Ⅲ系　総合・関連系,秋,芸術文化論Ⅱ,月3,津田 眞弓 他,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/政治', '法/法律']",34916,detail?ttblyr=2023&entno=34916&lang=jp
15,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,地域研究−東南アジア,月5,新井 和広 他,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",96163,detail?ttblyr=2023&entno=96163&lang=jp
16,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,文学Ⅱ,月4,上杉 誠 他,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/法律', '法/政治', '理']",20880,detail?ttblyr=2023&entno=20880&lang=jp
20,日吉,総合教育科目選択必修（Ⅲ系）Ⅲ系　総合・関連系（自由研究セミナー）（ＰＥＡＲＬ）,春集中,自由研究セミナー(PEARL)(GIC-certified courses),"月2,3",アートル， ジョン Ｊ．,対面授業（主として対面授業）,2023,['経/経Ｐ'],45207,detail?ttblyr=2023&entno=45207&lang=jp
48,日吉,人文科学科目選択,秋,人であることⅡ,月5,西 研,対面授業（主として対面授業）,2023,"['法/法律', '法/政治']",40430,detail?ttblyr=2023&entno=40430&lang=jp
28,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系（生物・物理・化学）,春,生物学Ⅰ（実験を含む）,"月3,4",福澤 利彦,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",31682,detail?ttblyr=2023&entno=31682&lang=jp
31,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系（ＰＥＡＲＬ）,秋集中,文学(PEARL),月3/水3,永井 容子,対面授業（主として対面授業）,2023,['経/経Ｐ'],96751,detail?ttblyr=2023&entno=96751&lang=jp
32,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系,秋,心理学Ⅳ,月2,中野 泰志 他,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",99000,detail?ttblyr=2023&entno=99000&lang=jp
40,日吉,総合教育科目Ⅰ類（自然科学系科目）講義科目,春,心理学Ⅲ,月2,中野 泰志 他,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文']",98989,detail?ttblyr=2023&entno=98989&lang=jp
58,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系（生物・物理・化学）,秋,生物学Ⅱ（実験を含む）,"月3,4",古川 亮平,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",22419,detail?ttblyr=2023&entno=22419&lang=jp
60,日吉,総合教育科目選択必修（Ⅲ系）Ⅲ系　総合・関連系,秋,ラテンアメリカ研究Ⅱ,月3,安井 伸,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文']",90571,detail?ttblyr=2023&entno=90571&lang=jp
65,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系（ＰＥＡＲＬ）,春集中,異文化コミュニケーション(PEARL),月2/水2,佐々木 由美,対面授業（主として対面授業）,2023,['経/経Ｐ'],5595,detail?ttblyr=2023&entno=05595&lang=jp
74,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系（ＰＥＡＲＬ）,秋,科学と環境Ⅰ(PEARL)(GIC-certified courses),月5,小畠 りか,対面授業（主として対面授業）,2023,['経/経Ｐ'],91999,detail?ttblyr=2023&entno=91999&lang=jp
89,日吉,総合教育科目第１・２学年設置科目系列Ｙ（自然科学系列・総合教育セミナー・外国語）,秋,ドイツ語セミ・インテンシブ２,月3/水3,宮川 尚理,対面授業（主として対面授業）,2023,['理'],30544,detail?ttblyr=2023&entno=30544&lang=jp
93,日吉,人文科学科目選択,春,地域文化論Ⅲ（ロシア）,月3,井上 徹,対面授業（主として対面授業）,2023,"['法/法律', '法/政治']",3774,detail?ttblyr=2023&entno=03774&lang=jp
102,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,歴史Ⅰ,月2,新井 和広,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/政治', '法/法律', '理']",375,detail?ttblyr=2023&entno=00375&lang=jp
109,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,歴史Ⅱ,月3,新井 和広,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/法律', '法/政治', '理']",14162,detail?ttblyr=2023&entno=14162&lang=jp
121,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,美術Ⅱ,月3,小池 智子,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/法律', '法/政治', '理']",59421,detail?ttblyr=2023&entno=59421&lang=jp
