LVL,FLDNM,KNLESSONLANGNM,ESTB,SYLLABUS_DETAIL_URL,SBJTNM,DOWPD,LCTNM,ID
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65514&lang=jp,英語Ⅰ中級,月1,辻 秀雄,65514
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65533&lang=jp,英語Ⅰ中級,月1,高橋 三和子,65533
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65806&lang=jp,英語Ⅰ中級発展,月1,濟藤 葵,65806
"2, 3, 4",必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=01115&lang=jp,英語Ⅲ中級（セ）,月1,吉川 正人,01115
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=05421&lang=jp,英語Ⅲ中級（セ）,月1,ボーム， スティーヴン,05421
1,必修語学科目ドイツ語,日本語,文/人文,detail?ttblyr=2023&entno=26744&lang=jp,ドイツ語Ⅰ（Ｂ）,月1,大淵 知直,26744
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=26452&lang=jp,フランス語Ⅰ（Ａ）,月1,真部 清孝,26452
1,必修語学科目フランス語,その他,文/人文,detail?ttblyr=2023&entno=69065&lang=jp,フランス語Ⅰ上級（Ｃ）,月1,ディオ， ロドルフ Ｃ．,69065
"2, 3, 4",必修語学科目フランス語,その他,文/人文,detail?ttblyr=2023&entno=03031&lang=jp,フランス語ⅢＢ（セ）,月1,ペリセロ， クリスティアン・アンドレ,03031
1,必修語学科目中国語,日本語,文/人文,detail?ttblyr=2023&entno=67096&lang=jp,中国語Ⅰ（Ｂ）,月1,植松 公彦,67096
1,必修語学科目韓国語,日本語,文/人文,detail?ttblyr=2023&entno=67904&lang=jp,韓国語Ⅰ（Ｂ）,月1,李 泰文,67904
1,総合教育科目人文科学系列,日本語,文/人文,detail?ttblyr=2023&entno=37223&lang=jp,音楽Ⅰ,月1,尾高 暁子,37223
1,総合教育科目人文科学系列,日本語,文/人文,detail?ttblyr=2023&entno=83645&lang=jp,文学Ⅰ,月1,種村 和史,83645
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=87550&lang=jp,政治学Ⅰ,月1,築山 宏樹,87550
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=60694&lang=jp,法学Ⅰ（憲法を含む）,月1,セレナ， フランコ,60694
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=01549&lang=jp,人類学Ⅰ,月1,河野 礼子,01549
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=04988&lang=jp,生物学Ⅰ（実験を含む）,"月1,2",古川 亮平,04988
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=31716&lang=jp,生物学Ⅰ（実験を含む）,"月1,2",福澤 利彦,31716
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=35637&lang=jp,生物学Ⅰ（実験を含む）,"月1,2",福山 欣司,35637
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=76393&lang=jp,物理学Ⅰ（実験を含む）,"月1,2",吉田 豊,76393
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=76867&lang=jp,物理学Ⅰ（実験を含む）,"月1,2",下村 裕,76867
1,総合教育科目系列外語学以外,日本語,文/人文,detail?ttblyr=2023&entno=80828&lang=jp,心理学Ⅲ,月1,中野 泰志 他,80828
1,総合教育科目系列外語学以外,日本語,文/人文,detail?ttblyr=2023&entno=31606&lang=jp,総合教育セミナーⅠ（20世紀の科学の発見）,月1,岡本 昌樹,31606
"2, 3, 4",総合教育科目系列外語学,その他,文/人文,detail?ttblyr=2023&entno=01010&lang=jp,中国語会話Ⅰ,月1,袁 英明,01010
"2, 3, 4",専門教育科目,日本語,文/人文,detail?ttblyr=2023&entno=01919&lang=jp,情報と倫理Ⅰ,月1,中川 雅博,01919
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65529&lang=jp,英語Ⅱ中級,月1,辻 秀雄,65529
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65548&lang=jp,英語Ⅱ中級,月1,高橋 三和子,65548
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65347&lang=jp,英語Ⅱ中級発展,月1,濟藤 葵,65347
"2, 3, 4",必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=04353&lang=jp,英語Ⅳ中級（セ）,月1,吉川 正人,04353
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=05622&lang=jp,英語Ⅳ中級（セ）,月1,ボーム， スティーヴン,05622
1,必修語学科目ドイツ語,日本語,文/人文,detail?ttblyr=2023&entno=66119&lang=jp,ドイツ語Ⅱ（Ｂ）,月1,大淵 知直,66119
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=26998&lang=jp,フランス語Ⅱ（Ａ）,月1,真部 清孝,26998
1,必修語学科目フランス語,その他,文/人文,detail?ttblyr=2023&entno=69070&lang=jp,フランス語Ⅱ上級（Ｃ）,月1,ディオ， ロドルフ Ｃ．,69070
"2, 3, 4",必修語学科目フランス語,その他,文/人文,detail?ttblyr=2023&entno=03046&lang=jp,フランス語ⅣＢ（セ）,月1,ペリセロ， クリスティアン・アンドレ,03046
1,必修語学科目中国語,日本語,文/人文,detail?ttblyr=2023&entno=67115&lang=jp,中国語Ⅱ（Ｂ）,月1,植松 公彦,67115
1,必修語学科目韓国語,日本語,文/人文,detail?ttblyr=2023&entno=67775&lang=jp,韓国語Ⅱ（Ｂ）,月1,李 泰文,67775
1,総合教育科目人文科学系列,日本語,文/人文,detail?ttblyr=2023&entno=59436&lang=jp,音楽Ⅱ,月1,尾高 暁子,59436
1,総合教育科目人文科学系列,日本語,文/人文,detail?ttblyr=2023&entno=76431&lang=jp,美術Ⅱ,月1,日野原 健司,76431
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=99583&lang=jp,政治学Ⅱ,月1,築山 宏樹,99583
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=77624&lang=jp,法学Ⅱ（憲法を含む）,月1,セレナ， フランコ,77624
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=08025&lang=jp,人類学Ⅱ,月1,河野 礼子,08025
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=23578&lang=jp,生物学Ⅱ（実験を含む）,"月1,2",古川 亮平,23578
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=36834&lang=jp,生物学Ⅱ（実験を含む）,"月1,2",福山 欣司,36834
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=70103&lang=jp,生物学Ⅱ（実験を含む）,"月1,2",福澤 利彦,70103
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=20344&lang=jp,物理学Ⅱ（実験を含む）,"月1,2",吉田 豊,20344
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=76522&lang=jp,物理学Ⅱ（実験を含む）,"月1,2",下村 裕,76522
1,総合教育科目系列外語学以外,日本語,文/人文,detail?ttblyr=2023&entno=80445&lang=jp,心理学Ⅳ,月1,中野 泰志 他,80445
"2, 3, 4",総合教育科目系列外語学,その他,文/人文,detail?ttblyr=2023&entno=09154&lang=jp,中国語会話Ⅱ,月1,袁 英明,09154
"2, 3, 4",専門教育科目,日本語,文/人文,detail?ttblyr=2023&entno=02179&lang=jp,博物館資料論Ⅰ,月1,梅沢 恵,02179
"2, 3, 4",専門教育科目東洋史学専攻必修Ｃ,日本語,文/人東,detail?ttblyr=2023&entno=96390&lang=jp,東洋史概説Ⅲ,月1,五味 知子,96390
"2, 3, 4",専門教育科目東洋史学専攻必修Ｃ,日本語,文/人東,detail?ttblyr=2023&entno=51418&lang=jp,東洋史概説Ⅳ,月1,五味 知子,51418
"2, 3, 4",専門教育科目図書館・情報学専攻必修（２年生）,日本語,文/人図,detail?ttblyr=2023&entno=84241&lang=jp,情報管理基礎Ⅱ（Ｂ）,月1,谷口 祥一,84241
"2, 3, 4",専門教育科目図書館・情報学専攻情報メディアコース（選択）(11学則) / 専門教育科目図書館・情報学専攻情報メディアコース（必修）(11学則) / 専門教育科目図書館・情報学専攻情報管理コース（必修）(11学則) / 専門教育科目図書館・情報学専攻情報検索コース（選択）(11学則) / 専門教育科目図書館・情報学専攻図書館コース（必修）(11学則),日本語,文/人図,detail?ttblyr=2023&entno=97946&lang=jp,図書館の制度と経営,月1,松本 直樹,97946
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65973&lang=jp,英語Ⅰ中級,月2,辻 秀雄,65973
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65992&lang=jp,英語Ⅰ中級,月2,高橋 三和子,65992
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=68881&lang=jp,英語Ⅰ中級,月2,小泉 有加,68881
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=66673&lang=jp,英語Ⅰ中級発展,月2,内田 大貴,66673
1,必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=69888&lang=jp,英語Ⅰ最上級,月2,タイ， ワンチェン,69888
"2, 3, 4",必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=38748&lang=jp,英語Ⅲ中級（セ）,月2,吉川 正人,38748
"2, 3, 4",必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=99107&lang=jp,英語Ⅲ中級（セ）,月2,三馬 志伸,99107
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=64668&lang=jp,英語Ⅲ中級発展（セ）,月2,ボーム， スティーヴン,64668
1,必修語学科目ドイツ語,日本語,文/人文,detail?ttblyr=2023&entno=65328&lang=jp,ドイツ語Ⅰ（Ｂ）,月2,大淵 知直,65328
1,必修語学科目ドイツ語,日本語,文/人文,detail?ttblyr=2023&entno=66563&lang=jp,ドイツ語Ⅰ（Ｃ）,月2,アインス， ヴィーラント,66563
1,必修語学科目ドイツ語,日本語,文/人文,detail?ttblyr=2023&entno=66582&lang=jp,ドイツ語Ⅰ（Ｃ）,月2,シュミット， ウテ,66582
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=26122&lang=jp,フランス語Ⅰ（Ｂ）,月2,真部 清孝,26122
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=68566&lang=jp,フランス語Ⅰ（Ｃ）,月2,ディオ， ロドルフ Ｃ．,68566
"2, 3, 4",必修語学科目フランス語,その他,文/人文,detail?ttblyr=2023&entno=04391&lang=jp,フランス語ⅢＢ（セ）,月2,ペリセロ， クリスティアン・アンドレ,04391
"2, 3, 4",必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=95408&lang=jp,フランス語ⅢＢ（セ）,月2,菅沼 潤,95408
1,必修語学科目中国語,日本語,文/人文,detail?ttblyr=2023&entno=66984&lang=jp,中国語Ⅰ（Ｂ）,月2,山下 紘嗣,66984
1,必修語学科目中国語,日本語,文/人文,detail?ttblyr=2023&entno=67388&lang=jp,中国語Ⅰ（Ｂ）,月2,植松 公彦,67388
"2, 3, 4",必修語学科目中国語,日本語,文/人文,detail?ttblyr=2023&entno=97578&lang=jp,中国語ⅢＢ（セ）,月2,袁 英明,97578
1,必修語学科目イタリア語,日本語,文/人文,detail?ttblyr=2023&entno=67149&lang=jp,イタリア語Ⅰ（Ａ）,月2,長谷川 悠里,67149
1,必修語学科目韓国語,日本語,文/人文,detail?ttblyr=2023&entno=82634&lang=jp,韓国語Ⅰ（Ｂ）,月2,李 泰文,82634
1,必修語学科目ロシア語,日本語,文/人文,detail?ttblyr=2023&entno=67498&lang=jp,ロシア語Ⅰ（Ａ）,月2,越野 剛,67498
1,総合教育科目人文科学系列,日本語,文/人文,detail?ttblyr=2023&entno=33840&lang=jp,音楽Ⅰ,月2,木内 麻理子,33840
1,総合教育科目人文科学系列,日本語,文/人文,detail?ttblyr=2023&entno=35324&lang=jp,文化人類学Ⅰ,月2,井上 京子,35324
1,総合教育科目人文科学系列,日本語,文/人文,detail?ttblyr=2023&entno=01166&lang=jp,歴史Ⅰ,月2,新井 和広,01166
1,総合教育科目人文科学系列,日本語,文/人文,detail?ttblyr=2023&entno=09825&lang=jp,歴史Ⅰ,月2,工藤 裕子,09825
1,総合教育科目人文科学系列特論,日本語,文/人文,detail?ttblyr=2023&entno=02712&lang=jp,人文科学特論Ⅰ（独文学）,月2,平田 栄一朗,02712
1,総合教育科目人文科学系列特論,日本語,文/人文,detail?ttblyr=2023&entno=24959&lang=jp,人文科学特論Ⅰ（音楽）,月2,福田 弥,24959
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=84273&lang=jp,政治学Ⅰ,月2,奥 健太郎,84273
"2, 3, 4",総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=11366&lang=jp,法学Ⅰ（憲法を含む）,月2,松浦 聖子,11366
1,総合教育科目社会科学系列,日本語,文/人文,detail?ttblyr=2023&entno=60493&lang=jp,法学Ⅰ（憲法を含む）,月2,野村 和彦,60493
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=04988&lang=jp,生物学Ⅰ（実験を含む）,"月1,2",古川 亮平,04988
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=31716&lang=jp,生物学Ⅰ（実験を含む）,"月1,2",福澤 利彦,31716
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=35637&lang=jp,生物学Ⅰ（実験を含む）,"月1,2",福山 欣司,35637
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=76393&lang=jp,物理学Ⅰ（実験を含む）,"月1,2",吉田 豊,76393
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=76867&lang=jp,物理学Ⅰ（実験を含む）,"月1,2",下村 裕,76867
1,総合教育科目系列外語学以外,日本語,文/人文,detail?ttblyr=2023&entno=98936&lang=jp,心理学Ⅲ,月2,中野 泰志 他,98936
1,総合教育科目系列外教授会の認める,日本語,文/人文,detail?ttblyr=2023&entno=70596&lang=jp,科学技術と現代社会,月2,吉村 公雄 他,70596
