id,campusName,academicFieldName,season,subjectName,dayOfWeekPeriod,locationName,lessonModeName,timetableYear,faculties,entryNumber,syllabusDetailUrl
4,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,国語国文Ⅱ,水3,津田 眞弓,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/法律', '法/政治']",11640,detail?ttblyr=2023&entno=11640&lang=jp
11,日吉,総合教育科目選択必修（Ⅲ系）Ⅲ系　総合・関連系（自由研究セミナー）,秋,自由研究セミナー,水5,長田 進,対面授業（主として対面授業）,2023,['経/経済'],7234,detail?ttblyr=2023&entno=07234&lang=jp
17,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,文化人類学Ⅱ,水3,井本 由紀,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '理']",2799,detail?ttblyr=2023&entno=02799&lang=jp
21,日吉,人文科学科目選択,春,地域文化論Ⅲ（イギリス）,水4,横山 千晶,対面授業（主として対面授業）,2023,"['法/法律', '法/政治']",30710,detail?ttblyr=2023&entno=30710&lang=jp
24,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,現代メディア論,水5,熊谷 知子,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '理']",18191,detail?ttblyr=2023&entno=18191&lang=jp
29,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,文学Ⅱ,水3,石川 学,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律', '理']",85820,detail?ttblyr=2023&entno=85820&lang=jp
30,日吉,総合教育科目Ⅰ類（自然科学系科目）実験科目,秋,化学Ⅱ（実験を含む）,"水3,4",志村 正,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文']",284,detail?ttblyr=2023&entno=00284&lang=jp
31,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系（ＰＥＡＲＬ）,秋集中,文学(PEARL),月3/水3,永井 容子,対面授業（主として対面授業）,2023,['経/経Ｐ'],96751,detail?ttblyr=2023&entno=96751&lang=jp
33,日吉,"総合教育科目Ⅲ類（学際的・総合的科目）講義科目(18, 19学則) / 総合教育科目Ⅲ類（学際的・総合的科目）商学部設置講義科目(05学則)",春,障害者雇用の現状と将来,水4,中島 隆信,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '理']",11032,detail?ttblyr=2023&entno=11032&lang=jp
37,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,倫理学Ⅱ,水5,長門 裕介,オンライン授業（全回オンデマンド形式）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律', '理']",227,detail?ttblyr=2023&entno=00227&lang=jp
38,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）演習科目,春,総合教育セミナーＳ（Ⅱ類）,水3,瀧本 佳容子,対面授業（主として対面授業）,2023,['商/商'],4216,detail?ttblyr=2023&entno=04216&lang=jp
42,日吉,総合教育科目Ⅰ類（自然科学系科目）講義科目,春,自然地理学Ⅰ,水1,丹羽 雄一,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文']",42189,detail?ttblyr=2023&entno=42189&lang=jp
50,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,政治学Ⅱ,水2,吉田 龍太郎,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '理']",82319,detail?ttblyr=2023&entno=82319&lang=jp
51,日吉,総合教育科目Ⅰ類（自然科学系科目）実験科目,秋,物理学Ⅱ（実験を含む）,"水1,2",小林 宏充,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文']",52867,detail?ttblyr=2023&entno=52867&lang=jp
53,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,歴史Ⅰ,水3,片山 杜秀,対面授業（主として対面授業）,2023,"['経/経済', '文/人文', '法/法律', '法/政治']",28681,detail?ttblyr=2023&entno=28681&lang=jp
57,日吉,総合教育科目Ⅰ類（自然科学系科目）実験科目,秋,生物学Ⅱ（実験を含む）,"水3,4",新津 修平,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文']",23821,detail?ttblyr=2023&entno=23821&lang=jp
