id,campusName,academicFieldName,season,subjectName,dayOfWeekPeriod,locationName,lessonModeName,timetableYear,faculties,entryNumber,syllabusDetailUrl
3,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,論理学Ⅱ,火5,高橋 優太,オンライン授業（全回オンデマンド形式）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律', '理']",1587,detail?ttblyr=2023&entno=01587&lang=jp
4,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,国語国文Ⅱ,水3,津田 眞弓,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/法律', '法/政治']",11640,detail?ttblyr=2023&entno=11640&lang=jp
6,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,春,言語学Ⅲ,火5,古賀 裕章,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律']",30341,detail?ttblyr=2023&entno=30341&lang=jp
9,日吉,総合教育科目選択必修（Ⅲ系）Ⅲ系　総合・関連系,秋,芸術文化論Ⅱ,月3,津田 眞弓 他,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/政治', '法/法律']",34916,detail?ttblyr=2023&entno=34916&lang=jp
12,日吉,人文科学科目選択,秋,人文科学特論Ⅱ,火4,大野 真澄,対面授業（主として対面授業）,2023,"['法/政治', '法/法律']",95368,detail?ttblyr=2023&entno=95368&lang=jp
16,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,文学Ⅱ,月4,上杉 誠 他,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/法律', '法/政治', '理']",20880,detail?ttblyr=2023&entno=20880&lang=jp
18,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,春,言語学Ⅰ,火5,タンクレディ， クリストファー Ｄ．,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律']",89199,detail?ttblyr=2023&entno=89199&lang=jp
21,日吉,人文科学科目選択,春,地域文化論Ⅲ（イギリス）,水4,横山 千晶,対面授業（主として対面授業）,2023,"['法/法律', '法/政治']",30710,detail?ttblyr=2023&entno=30710&lang=jp
48,日吉,人文科学科目選択,秋,人であることⅡ,月5,西 研,対面授業（主として対面授業）,2023,"['法/法律', '法/政治']",40430,detail?ttblyr=2023&entno=40430&lang=jp
26,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,音楽Ⅰ,金5,安川 智子,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/法律', '法/政治', '理']",53753,detail?ttblyr=2023&entno=53753&lang=jp
27,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,春,美術Ⅰ,火2,國本 学史,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/法律', '法/政治', '理']",2507,detail?ttblyr=2023&entno=02507&lang=jp
29,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,文学Ⅱ,水3,石川 学,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律', '理']",85820,detail?ttblyr=2023&entno=85820&lang=jp
36,日吉,人文科学科目選択,秋,地域文化論Ⅳ（東アジア・中国）,木5,安田 淳,対面授業（主として対面授業）,2023,"['法/政治', '法/法律']",63473,detail?ttblyr=2023&entno=63473&lang=jp
37,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,倫理学Ⅱ,水5,長門 裕介,オンライン授業（全回オンデマンド形式）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律', '理']",227,detail?ttblyr=2023&entno=00227&lang=jp
39,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,春,音楽Ⅰ,火4,井上 智,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律', '理']",89715,detail?ttblyr=2023&entno=89715&lang=jp
41,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,歴史Ⅱ,木2,岩波 敦子,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/法律', '法/政治', '理']",23707,detail?ttblyr=2023&entno=23707&lang=jp
45,日吉,人文科学科目選択,秋,地域文化論Ⅱ（ラテンアメリカ）,金3,工藤 由美,対面授業（主として対面授業）,2023,"['法/法律', '法/政治']",35068,detail?ttblyr=2023&entno=35068&lang=jp
46,日吉,人文科学科目選択,秋,人文科学特論Ⅱ,木4,常山 菜穂子,対面授業（主として対面授業）,2023,"['法/法律', '法/政治']",59622,detail?ttblyr=2023&entno=59622&lang=jp
47,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,春,歴史Ⅰ,火3,久保田 裕次,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律', '理']",28656,detail?ttblyr=2023&entno=28656&lang=jp
148,日吉,人文科学科目選択,春,人文科学特論Ⅰ,火4,大野 真澄,対面授業（主として対面授業）,2023,"['法/法律', '法/政治']",95391,detail?ttblyr=2023&entno=95391&lang=jp
49,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,倫理学Ⅰ,土2,久野 真隆,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/法律', '法/政治', '理']",52355,detail?ttblyr=2023&entno=52355&lang=jp
52,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,文学Ⅰ,金3,迫 桂,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/政治', '法/法律', '理']",95061,detail?ttblyr=2023&entno=95061&lang=jp
53,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,歴史Ⅰ,水3,片山 杜秀,対面授業（主として対面授業）,2023,"['経/経済', '文/人文', '法/法律', '法/政治']",28681,detail?ttblyr=2023&entno=28681&lang=jp
62,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,文学Ⅱ,木3,石川 大智,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律', '理']",44693,detail?ttblyr=2023&entno=44693&lang=jp
67,日吉,人文科学科目選択,秋,社会における性Ⅱ,水5,大坪 真利子,対面授業（主として対面授業）,2023,"['法/政治', '法/法律']",40497,detail?ttblyr=2023&entno=40497&lang=jp
68,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,文学Ⅰ,金4,若澤 佑典,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/政治', '法/法律', '理']",13881,detail?ttblyr=2023&entno=13881&lang=jp
69,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,美術Ⅱ,木4,白原 由起子,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/法律', '法/政治', '理']",71755,detail?ttblyr=2023&entno=71755&lang=jp
73,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,春,論理学Ⅰ,木4,佐々木 昭則,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/法律', '法/政治', '理']",51454,detail?ttblyr=2023&entno=51454&lang=jp
75,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,哲学Ⅱ,金5,鈴木 康則,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/政治', '法/法律', '理']",52389,detail?ttblyr=2023&entno=52389&lang=jp
79,日吉,人文科学科目選択,春,地域文化論Ⅲ（東アジア・朝鮮半島）,金1,小針 進,対面授業（主として対面授業）,2023,"['法/政治', '法/法律']",191,detail?ttblyr=2023&entno=00191&lang=jp
83,日吉,人文科学科目選択,秋,地域文化論Ⅱ（イギリス）,水3,星野 真志,対面授業（主として対面授業）,2023,"['法/法律', '法/政治']",2951,detail?ttblyr=2023&entno=02951&lang=jp
86,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,文学Ⅱ,木3,竹内 美佳子,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律', '理']",39298,detail?ttblyr=2023&entno=39298&lang=jp
87,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,春,文学Ⅰ,水3,星野 真志,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律', '理']",76852,detail?ttblyr=2023&entno=76852&lang=jp
93,日吉,人文科学科目選択,春,地域文化論Ⅲ（ロシア）,月3,井上 徹,対面授業（主として対面授業）,2023,"['法/法律', '法/政治']",3774,detail?ttblyr=2023&entno=03774&lang=jp
