id,campusName,academicFieldName,season,subjectName,dayOfWeekPeriod,locationName,lessonModeName,timetableYear,faculties,entryNumber,syllabusDetailUrl
1,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,社会学Ⅱ,火1,土居 洋平,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '理']",18864,detail?ttblyr=2023&entno=18864&lang=jp
3,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,論理学Ⅱ,火5,高橋 優太,オンライン授業（全回オンデマンド形式）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律', '理']",1587,detail?ttblyr=2023&entno=01587&lang=jp
7,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系,秋,科学と環境Ⅱ,土3,豊田 健介,オンライン授業（主としてオンデマンド形式）,2023,"['経/経済', '商/商', '文/人文', '理']",90749,detail?ttblyr=2023&entno=90749&lang=jp
13,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,地域文化論,木3,杉山 有紀子,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '理']",26052,detail?ttblyr=2023&entno=26052&lang=jp
16,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,秋,文学Ⅱ,月4,上杉 誠 他,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/法律', '法/政治', '理']",20880,detail?ttblyr=2023&entno=20880&lang=jp
17,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,文化人類学Ⅱ,水3,井本 由紀,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '理']",2799,detail?ttblyr=2023&entno=02799&lang=jp
23,日吉,総合教育科目選択必修（Ⅰ系）Ⅰ系　自然・数理系,秋,科学と環境Ⅱ,金4,フラキ， アントニノ,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '理']",92259,detail?ttblyr=2023&entno=92259&lang=jp
3577,日吉,外国語科目英語,春,英語１,金3/金4,小菅 隼人,対面授業（主として対面授業）,2023,['理'],8395,detail?ttblyr=2023&entno=08395&lang=jp
24,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,現代メディア論,水5,熊谷 知子,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '理']",18191,detail?ttblyr=2023&entno=18191&lang=jp
26,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,音楽Ⅰ,金5,安川 智子,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '法/法律', '法/政治', '理']",53753,detail?ttblyr=2023&entno=53753&lang=jp
27,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,春,美術Ⅰ,火2,國本 学史,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/法律', '法/政治', '理']",2507,detail?ttblyr=2023&entno=02507&lang=jp
29,日吉,総合教育科目Ⅱ類（人文・社会科学系科目）講義科目,秋,文学Ⅱ,水3,石川 学,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '法/政治', '法/法律', '理']",85820,detail?ttblyr=2023&entno=85820&lang=jp
33,日吉,"総合教育科目Ⅲ類（学際的・総合的科目）講義科目(18, 19学則) / 総合教育科目Ⅲ類（学際的・総合的科目）商学部設置講義科目(05学則)",春,障害者雇用の現状と将来,水4,中島 隆信,対面授業（主として対面授業）,2023,"['商/商', '経/経済', '文/人文', '理']",11032,detail?ttblyr=2023&entno=11032&lang=jp
34,日吉,総合教育科目選択必修（Ⅱ系）Ⅱ系　人文・社会系,春,地理学Ⅰ,金3,長田 進,対面授業（主として対面授業）,2023,"['経/経済', '商/商', '文/人文', '理']",39360,detail?ttblyr=2023&entno=39360&lang=jp
35,日吉,総合教育科目第１・２学年設置科目系列Ｙ（自然科学系列・総合教育セミナー・外国語）,秋,中国語セミ・インテンシブ２,火3/木3,余 志紅,対面授業（主として対面授業）,2023,['理'],66453,detail?ttblyr=2023&entno=66453&lang=jp
